6513.108: [GC 6513.108: [ParNew: 1393457K->127105K(1415616K), 0.0536510 secs] 2851012K->1597318K(8231360K), 0.0539630 secs] [Times: user=0.55 sys=0.04, real=0.05 secs] 
6516.145: [GC 6516.145: [ParNew: 1385473K->125407K(1415616K), 0.0573120 secs] 2855686K->1608658K(8231360K), 0.0577230 secs] [Times: user=0.54 sys=0.05, real=0.06 secs] 
6519.518: [GC 6519.518: [ParNew: 1383775K->120154K(1415616K), 0.0564660 secs] 2867026K->1616774K(8231360K), 0.0567930 secs] [Times: user=0.55 sys=0.04, real=0.05 secs] 
6523.194: [GC 6523.194: [ParNew: 1378522K->118276K(1415616K), 0.0553520 secs] 2875142K->1627755K(8231360K), 0.0556670 secs] [Times: user=0.55 sys=0.05, real=0.06 secs] 
6525.939: [GC 6525.939: [ParNew: 1376644K->119848K(1415616K), 0.0531580 secs] 2886123K->1641945K(8231360K), 0.0534770 secs] [Times: user=0.53 sys=0.05, real=0.05 secs] 
6528.941: [GC 6528.941: [ParNew: 1378216K->109653K(1415616K), 0.0553210 secs] 2900313K->1644635K(8231360K), 0.0556520 secs] [Times: user=0.55 sys=0.03, real=0.05 secs] 
6531.907: [GC 6531.907: [ParNew: 1368021K->113769K(1415616K), 0.0528600 secs] 2903003K->1661301K(8231360K), 0.0531680 secs] [Times: user=0.55 sys=0.03, real=0.06 secs] 
6534.917: [GC 6534.917: [ParNew: 1372137K->124271K(1415616K), 0.0537730 secs] 2919669K->1684593K(8231360K), 0.0540880 secs] [Times: user=0.57 sys=0.03, real=0.06 secs] 
6538.545: [GC 6538.545: [ParNew: 1382639K->111210K(1415616K), 0.0536540 secs] 2942961K->1684398K(8231360K), 0.0539730 secs] [Times: user=0.53 sys=0.03, real=0.06 secs] 
6542.352: [GC 6542.353: [ParNew: 1369578K->99311K(1415616K), 0.0536440 secs] 2942766K->1684834K(8231360K), 0.0540050 secs] [Times: user=0.55 sys=0.04, real=0.05 secs] 
6545.488: [GC 6545.489: [ParNew: 1357679K->154147K(1415616K), 0.0335420 secs] 2943202K->1739670K(8231360K), 0.0338540 secs] [Times: user=0.52 sys=0.00, real=0.04 secs] 
6548.814: [GC 6548.814: [ParNew: 1412515K->108580K(1415616K), 0.0577160 secs] 2998038K->1705964K(8231360K), 0.0580350 secs] [Times: user=0.62 sys=0.05, real=0.06 secs] 
6551.764: [GC 6551.764: [ParNew: 1366948K->146779K(1415616K), 0.0596230 secs] 2964332K->1757005K(8231360K), 0.0599490 secs] [Times: user=0.69 sys=0.03, real=0.06 secs] 
6555.387: [GC 6555.388: [ParNew: 1405147K->121571K(1415616K), 0.0593210 secs] 3015373K->1744873K(8231360K), 0.0596360 secs] [Times: user=0.63 sys=0.03, real=0.06 secs] 
6559.369: [GC 6559.370: [ParNew: 1379939K->127335K(1415616K), 0.0624000 secs] 3003241K->1763164K(8231360K), 0.0627300 secs] [Times: user=0.71 sys=0.03, real=0.06 secs] 
6562.577: [GC 6562.577: [ParNew: 1385703K->130224K(1415616K), 0.0614520 secs] 3021532K->1778351K(8231360K), 0.0617630 secs] [Times: user=0.71 sys=0.05, real=0.06 secs] 
6566.570: [GC 6566.570: [ParNew: 1388592K->112622K(1415616K), 0.0603070 secs] 3036719K->1772677K(8231360K), 0.0606230 secs] [Times: user=0.72 sys=0.03, real=0.06 secs] 
6570.307: [GC 6570.307: [ParNew: 1370990K->127007K(1415616K), 0.0568930 secs] 3031045K->1799170K(8231360K), 0.0572140 secs] [Times: user=0.66 sys=0.03, real=0.05 secs] 
6573.494: [GC 6573.494: [ParNew: 1385375K->125717K(1415616K), 0.0573650 secs] 3057538K->1809999K(8231360K), 0.0576830 secs] [Times: user=0.63 sys=0.03, real=0.06 secs] 
6577.342: [GC 6577.342: [ParNew: 1384085K->129201K(1415616K), 0.0548610 secs] 3068367K->1824902K(8231360K), 0.0551850 secs] [Times: user=0.61 sys=0.02, real=0.06 secs] 
6580.495: [GC 6580.495: [ParNew: 1387569K->128700K(1415616K), 0.0529140 secs] 3083270K->1835844K(8231360K), 0.0532340 secs] [Times: user=0.60 sys=0.03, real=0.06 secs] 
6583.727: [GC 6583.727: [ParNew: 1387068K->134764K(1415616K), 0.0508910 secs] 3094212K->1853267K(8231360K), 0.0512060 secs] [Times: user=0.56 sys=0.04, real=0.06 secs] 
6587.207: [GC 6587.207: [ParNew: 1393132K->118550K(1415616K), 0.0534730 secs] 3111635K->1848243K(8231360K), 0.0537970 secs] [Times: user=0.58 sys=0.04, real=0.06 secs] 
6590.206: [GC 6590.207: [ParNew: 1376918K->109301K(1415616K), 0.0527560 secs] 3106611K->1850401K(8231360K), 0.0530820 secs] [Times: user=0.57 sys=0.03, real=0.06 secs] 
6592.999: [GC 6592.999: [ParNew: 1367669K->123137K(1415616K), 0.0521950 secs] 3108769K->1875484K(8231360K), 0.0525350 secs] [Times: user=0.57 sys=0.02, real=0.06 secs] 
6595.629: [GC 6595.629: [ParNew: 1381505K->127816K(1415616K), 0.0617610 secs] 3133852K->1891202K(8231360K), 0.0620910 secs] [Times: user=0.70 sys=0.03, real=0.07 secs] 
6597.825: [GC 6597.825: [ParNew: 1386184K->126223K(1415616K), 0.0566880 secs] 3149570K->1901071K(8231360K), 0.0570050 secs] [Times: user=0.59 sys=0.03, real=0.06 secs] 
6601.560: [GC 6601.560: [ParNew: 1384591K->99573K(1415616K), 0.0533900 secs] 3159439K->1885201K(8231360K), 0.0537080 secs] [Times: user=0.61 sys=0.03, real=0.06 secs] 
6604.786: [GC 6604.787: [ParNew: 1357941K->108688K(1415616K), 0.0639500 secs] 3143569K->1905713K(8231360K), 0.0643180 secs] [Times: user=0.68 sys=0.03, real=0.06 secs] 
