0.392: [GC 0.392: [ParNew: 1984K->320K(2304K), 0.0075019 secs] 1984K->524K(7616K), 0.0075748 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
66.877: [GC 66.877: [ParNew: 6672K->943K(7616K), 0.0011414 secs] 18746K->13017K(24732K), 0.0012088 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.883: [GC 66.883: [ParNew: 7421K->115K(7616K), 0.0011465 secs] 19495K->12929K(24732K), 0.0012133 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.891: [GC 66.891: [ParNew: 6623K->312K(7616K), 0.0015393 secs] 19437K->13126K(24732K), 0.0016016 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.896: [GC 66.896: [ParNew: 6817K->381K(7616K), 0.0007381 secs] 19631K->13195K(24732K), 0.0007893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.904: [GC 66.904: [ParNew: 6753K->791K(7616K), 0.0013268 secs] 19567K->13605K(24732K), 0.0013966 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.911: [GC 66.911: [ParNew: 7275K->836K(7616K), 0.0019623 secs] 20089K->14118K(24732K), 0.0020578 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.918: [GC 66.918: [ParNew: 7345K->474K(7616K), 0.0011365 secs] 20626K->14102K(24732K), 0.0012211 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
66.926: [GC 66.926: [ParNew: 6929K->308K(7616K), 0.0017021 secs] 20557K->13936K(24732K), 0.0017772 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.934: [GC 66.934: [ParNew: 6833K->331K(7616K), 0.0008765 secs] 20461K->13959K(24732K), 0.0009366 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.939: [GC 66.939: [ParNew: 6848K->265K(7616K), 0.0007374 secs] 20476K->13894K(24732K), 0.0007878 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.944: [GC 66.944: [ParNew: 6769K->473K(7616K), 0.0009313 secs] 20397K->14101K(24732K), 0.0009992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.949: [GC 66.949: [ParNew: 6951K->984K(7616K), 0.0013005 secs] 20579K->14613K(24732K), 0.0013727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.954: [GC 66.954: [ParNew: 7487K->275K(7616K), 0.0015285 secs] 21115K->14765K(24732K), 0.0015996 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.961: [GC 66.961: [ParNew: 6800K->445K(7616K), 0.0013715 secs] 21290K->14935K(24732K), 0.0014435 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.966: [GC 66.966: [ParNew: 6936K->516K(7616K), 0.0009002 secs] 21426K->15006K(24732K), 0.0009556 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.971: [GC 66.971: [ParNew: 7036K->724K(7616K), 0.0011840 secs] 21526K->15214K(24732K), 0.0012591 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
66.977: [GC 66.977: [ParNew: 7219K->619K(7616K), 0.0012770 secs] 21709K->15325K(24732K), 0.0013463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.982: [GC 66.983: [ParNew: 7139K->772K(7616K), 0.0013104 secs] 21845K->15571K(24732K), 0.0013804 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
66.988: [GC 66.988: [ParNew: 7298K->687K(7616K), 0.0016503 secs] 22097K->15578K(24732K), 0.0017183 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
66.995: [GC 66.995: [ParNew: 7186K->648K(7616K), 0.0010781 secs] 22077K->15649K(24732K), 0.0011422 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.000: [GC 67.000: [ParNew: 7174K->509K(7616K), 0.0011638 secs] 22175K->15622K(24732K), 0.0012251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.006: [GC 67.006: [ParNew: 6988K->663K(7616K), 0.0010183 secs] 22101K->15776K(24732K), 0.0010801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.012: [GC 67.012: [ParNew: 7183K->312K(7616K), 0.0009574 secs] 22296K->15710K(24732K), 0.0010156 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.017: [GC 67.017: [ParNew: 6823K->424K(7616K), 0.0009233 secs] 22221K->15822K(24732K), 0.0009775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.022: [GC 67.022: [ParNew: 6930K->788K(7616K), 0.0011416 secs] 22328K->16186K(24732K), 0.0012060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.028: [GC 67.028: [ParNew: 7295K->518K(7616K), 0.0016345 secs] 22693K->16661K(24732K), 0.0017072 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.038: [GC 67.038: [ParNew: 7040K->1047K(7616K), 0.0014798 secs] 23183K->17190K(24732K), 0.0015520 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.045: [GC 67.045: [ParNew: 7540K->307K(7616K), 0.0014433 secs] 23683K->17132K(24732K), 0.0015122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.057: [GC 67.057: [ParNew: 6799K->387K(7616K), 0.0010530 secs] 23624K->17212K(24732K), 0.0011146 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.062: [GC 67.062: [ParNew: 6915K->539K(7616K), 0.0009620 secs] 23740K->17364K(24732K), 0.0010184 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.067: [GC 67.067: [ParNew: 7058K->564K(7616K), 0.0011087 secs] 23883K->17389K(24732K), 0.0011688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.073: [GC 67.073: [ParNew: 7051K->735K(7616K), 0.0010670 secs] 23876K->17560K(24732K), 0.0011296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.080: [GC 67.080: [ParNew: 7256K->512K(7616K), 0.0016659 secs]67.082: [Tenured: 17128K->8543K(17308K), 0.0705741 secs] 24081K->8543K(24924K), [Perm : 10713K->10713K(21248K)], 0.0724815 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
67.158: [GC 67.158: [ParNew: 6512K->114K(7616K), 0.0007232 secs] 15055K->8658K(24732K), 0.0007843 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.164: [GC 67.164: [ParNew: 6637K->313K(7616K), 0.0007457 secs] 15180K->8856K(24732K), 0.0008140 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.168: [GC 67.168: [ParNew: 6817K->189K(7616K), 0.0007321 secs] 15360K->8732K(24732K), 0.0007818 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.173: [GC 67.173: [ParNew: 6717K->507K(7616K), 0.0010722 secs] 15260K->9050K(24732K), 0.0011329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.179: [GC 67.179: [ParNew: 7035K->811K(7616K), 0.0010406 secs] 15578K->9354K(24732K), 0.0011183 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.186: [GC 67.186: [ParNew: 7330K->724K(7616K), 0.0019680 secs] 15873K->9689K(24732K), 0.0020468 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.192: [GC 67.192: [ParNew: 7234K->521K(7616K), 0.0012099 secs] 16199K->9720K(24732K), 0.0012752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.198: [GC 67.198: [ParNew: 6961K->848K(7616K), 0.0014676 secs] 16160K->10047K(24732K), 0.0015549 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.203: [GC 67.203: [ParNew: 7330K->553K(7616K), 0.0012423 secs] 16529K->9959K(24732K), 0.0013104 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.208: [GC 67.209: [ParNew: 7070K->438K(7616K), 0.0010317 secs] 16475K->9973K(24732K), 0.0010997 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.214: [GC 67.214: [ParNew: 6922K->840K(7616K), 0.0011743 secs] 16457K->10375K(24732K), 0.0012385 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
67.219: [GC 67.219: [ParNew: 7344K->604K(7616K), 0.0015128 secs] 16879K->10442K(24732K), 0.0015872 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.226: [GC 67.226: [ParNew: 7086K->478K(7616K), 0.0010979 secs] 16924K->10422K(24732K), 0.0011743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.231: [GC 67.231: [ParNew: 7001K->512K(7616K), 0.0009799 secs] 16946K->10456K(24732K), 0.0010402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.237: [GC 67.237: [ParNew: 7034K->535K(7616K), 0.0016856 secs] 16978K->10479K(24732K), 0.0017817 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.243: [GC 67.243: [ParNew: 6994K->755K(7616K), 0.0011652 secs] 16938K->10699K(24732K), 0.0012313 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.249: [GC 67.249: [ParNew: 7272K->1045K(7616K), 0.0018872 secs] 17216K->11188K(24732K), 0.0019665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.257: [GC 67.257: [ParNew: 7562K->394K(7616K), 0.0009883 secs] 17704K->10892K(24732K), 0.0010481 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.264: [GC 67.264: [ParNew: 6892K->791K(7616K), 0.0009854 secs] 17390K->11289K(24732K), 0.0010756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.269: [GC 67.270: [ParNew: 7313K->631K(7616K), 0.0015184 secs] 17811K->11358K(24732K), 0.0015856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.276: [GC 67.276: [ParNew: 7157K->499K(7616K), 0.0013055 secs] 17883K->11693K(24732K), 0.0013756 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.283: [GC 67.283: [ParNew: 7024K->958K(7616K), 0.0012280 secs] 18218K->12152K(24732K), 0.0013072 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.289: [GC 67.289: [ParNew: 7458K->366K(7616K), 0.0012094 secs] 18652K->12028K(24732K), 0.0012791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.295: [GC 67.295: [ParNew: 6892K->554K(7616K), 0.0010930 secs] 18554K->12216K(24732K), 0.0011571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.300: [GC 67.300: [ParNew: 7067K->634K(7616K), 0.0019037 secs] 18729K->12506K(24732K), 0.0019822 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.306: [GC 67.306: [ParNew: 7140K->333K(7616K), 0.0014074 secs] 19012K->12434K(24732K), 0.0014715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.311: [GC 67.311: [ParNew: 6827K->262K(7616K), 0.0009372 secs] 18929K->12363K(24732K), 0.0009889 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.316: [GC 67.316: [ParNew: 6787K->763K(7616K), 0.0016810 secs] 18889K->12864K(24732K), 0.0017526 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.322: [GC 67.322: [ParNew: 7246K->433K(7616K), 0.0013472 secs] 19347K->13043K(24732K), 0.0014229 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.329: [GC 67.329: [ParNew: 6923K->780K(7616K), 0.0012424 secs] 19532K->13390K(24732K), 0.0013202 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.338: [GC 67.338: [ParNew: 7273K->363K(7616K), 0.0014213 secs] 19883K->13488K(24732K), 0.0014943 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.345: [GC 67.345: [ParNew: 6885K->398K(7616K), 0.0010663 secs] 20010K->13523K(24732K), 0.0011333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.350: [GC 67.350: [ParNew: 6917K->468K(7616K), 0.0010683 secs] 20042K->13592K(24732K), 0.0011337 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.356: [GC 67.356: [ParNew: 6892K->552K(7616K), 0.0010327 secs] 20017K->13677K(24732K), 0.0010904 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.361: [GC 67.361: [ParNew: 7080K->442K(7616K), 0.0011870 secs] 20205K->13714K(24732K), 0.0012518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.366: [GC 67.366: [ParNew: 6898K->645K(7616K), 0.0015019 secs] 20170K->13918K(24732K), 0.0015816 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.372: [GC 67.372: [ParNew: 7153K->637K(7616K), 0.0014526 secs] 20426K->14136K(24732K), 0.0015222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.377: [GC 67.377: [ParNew: 7121K->466K(7616K), 0.0013500 secs] 20620K->14173K(24732K), 0.0014176 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.383: [GC 67.383: [ParNew: 6946K->367K(7616K), 0.0009165 secs] 20653K->14074K(24732K), 0.0009709 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.388: [GC 67.388: [ParNew: 6851K->634K(7616K), 0.0015948 secs] 20558K->14341K(24732K), 0.0016625 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.394: [GC 67.394: [ParNew: 7142K->548K(7616K), 0.0011420 secs] 20849K->14352K(24732K), 0.0012067 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.399: [GC 67.399: [ParNew: 7042K->582K(7616K), 0.0009599 secs] 20847K->14386K(24732K), 0.0010198 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.404: [GC 67.404: [ParNew: 7094K->343K(7616K), 0.0013753 secs] 20898K->14357K(24732K), 0.0014639 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.410: [GC 67.410: [ParNew: 6864K->385K(7616K), 0.0009417 secs] 20879K->14400K(24732K), 0.0009956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.415: [GC 67.415: [ParNew: 6904K->640K(7616K), 0.0014920 secs] 20918K->14655K(24732K), 0.0015551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.420: [GC 67.420: [ParNew: 7131K->702K(7616K), 0.0015986 secs] 21146K->14840K(24732K), 0.0016661 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.425: [GC 67.426: [ParNew: 7152K->678K(7616K), 0.0014843 secs] 21290K->14981K(24732K), 0.0015539 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.431: [GC 67.431: [ParNew: 7154K->739K(7616K), 0.0013804 secs] 21458K->15271K(24732K), 0.0014482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.436: [GC 67.436: [ParNew: 7228K->742K(7616K), 0.0021847 secs] 21760K->15471K(24732K), 0.0022671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.442: [GC 67.443: [ParNew: 7214K->414K(7616K), 0.0012647 secs] 21942K->15428K(24732K), 0.0013681 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.448: [GC 67.448: [ParNew: 6916K->598K(7616K), 0.0012346 secs] 21930K->15612K(24732K), 0.0013879 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.454: [GC 67.454: [ParNew: 7049K->348K(7616K), 0.0010286 secs] 22063K->15539K(24732K), 0.0010860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.459: [GC 67.459: [ParNew: 6862K->422K(7616K), 0.0009102 secs] 22053K->15613K(24732K), 0.0009813 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.464: [GC 67.464: [ParNew: 6948K->488K(7616K), 0.0010063 secs] 22139K->15678K(24732K), 0.0010641 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.469: [GC 67.469: [ParNew: 6946K->617K(7616K), 0.0010485 secs] 22137K->15807K(24732K), 0.0011109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.474: [GC 67.474: [ParNew: 7115K->514K(7616K), 0.0011119 secs] 22306K->15811K(24732K), 0.0011761 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.480: [GC 67.480: [ParNew: 6991K->859K(7616K), 0.0012684 secs] 22288K->16155K(24732K), 0.0013354 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.485: [GC 67.485: [ParNew: 7351K->821K(7616K), 0.0015479 secs] 22648K->16437K(24732K), 0.0016193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.491: [GC 67.492: [ParNew: 7290K->620K(7616K), 0.0012024 secs] 22906K->16534K(24732K), 0.0012745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.497: [GC 67.497: [ParNew: 7111K->538K(7616K), 0.0015805 secs] 23025K->16632K(24732K), 0.0016458 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.503: [GC 67.503: [ParNew: 7062K->693K(7616K), 0.0021135 secs] 23156K->16788K(24732K), 0.0021811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.511: [GC 67.511: [ParNew: 7221K->158K(7616K), 0.0012944 secs] 23315K->16558K(24732K), 0.0013525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.518: [GC 67.518: [ParNew: 6631K->852K(7616K), 0.0010757 secs] 23031K->17252K(24732K), 0.0011397 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.523: [GC 67.523: [ParNew: 7355K->228K(7616K), 0.0011644 secs] 23755K->17011K(24732K), 0.0012374 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.528: [GC 67.528: [ParNew: 6735K->812K(7616K), 0.0014148 secs] 23518K->17595K(24732K), 0.0014801 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
67.535: [GC 67.535: [ParNew: 7324K->245K(7616K), 0.0012414 secs]67.536: [Tenured: 17207K->7937K(17308K), 0.0735813 secs] 24107K->7937K(24924K), [Perm : 10713K->10713K(21248K)], 0.0750669 secs] [Times: user=0.07 sys=0.00, real=0.08 secs] 
67.614: [GC 67.614: [ParNew: 6527K->605K(7616K), 0.0009501 secs] 14465K->8542K(24732K), 0.0010126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.619: [GC 67.619: [ParNew: 7129K->309K(7616K), 0.0010712 secs] 15066K->8700K(24732K), 0.0011467 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.624: [GC 67.624: [ParNew: 6787K->495K(7616K), 0.0009103 secs] 15178K->8886K(24732K), 0.0009677 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.630: [GC 67.630: [ParNew: 6963K->813K(7616K), 0.0011376 secs] 15355K->9205K(24732K), 0.0012048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.640: [GC 67.640: [ParNew: 7339K->441K(7616K), 0.0013921 secs] 15730K->9197K(24732K), 0.0014624 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.648: [GC 67.648: [ParNew: 6969K->1043K(7616K), 0.0015693 secs] 15725K->9999K(24732K), 0.0016779 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.654: [GC 67.654: [ParNew: 7550K->324K(7616K), 0.0013554 secs] 16505K->9999K(24732K), 0.0014262 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.660: [GC 67.660: [ParNew: 6823K->619K(7616K), 0.0008954 secs] 16498K->10293K(24732K), 0.0009549 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.665: [GC 67.665: [ParNew: 7088K->545K(7616K), 0.0011343 secs] 16762K->10458K(24732K), 0.0012205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.671: [GC 67.671: [ParNew: 7070K->530K(7616K), 0.0010215 secs] 16983K->10443K(24732K), 0.0010822 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.677: [GC 67.677: [ParNew: 7033K->769K(7616K), 0.0010254 secs] 16946K->10682K(24732K), 0.0010916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.682: [GC 67.682: [ParNew: 7253K->873K(7616K), 0.0013813 secs] 17166K->11016K(24732K), 0.0014562 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.688: [GC 67.689: [ParNew: 7376K->132K(7616K), 0.0014418 secs] 17518K->10743K(24732K), 0.0015131 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.694: [GC 67.694: [ParNew: 6638K->232K(7616K), 0.0009077 secs] 17249K->10843K(24732K), 0.0009870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.700: [GC 67.700: [ParNew: 6760K->438K(7616K), 0.0007406 secs] 17371K->11049K(24732K), 0.0007927 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.704: [GC 67.704: [ParNew: 6943K->414K(7616K), 0.0014703 secs] 17554K->11025K(24732K), 0.0015428 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.710: [GC 67.710: [ParNew: 6802K->844K(7616K), 0.0012762 secs] 17414K->11455K(24732K), 0.0013481 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.715: [GC 67.716: [ParNew: 7317K->479K(7616K), 0.0015013 secs] 17928K->11453K(24732K), 0.0015683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.722: [GC 67.722: [ParNew: 6893K->845K(7616K), 0.0027045 secs] 17867K->11819K(24732K), 0.0027915 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.730: [GC 67.730: [ParNew: 7360K->582K(7616K), 0.0012277 secs] 18334K->11823K(24732K), 0.0012932 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.739: [GC 67.739: [ParNew: 6967K->564K(7616K), 0.0023525 secs] 18208K->11970K(24732K), 0.0024320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.746: [GC 67.746: [ParNew: 7089K->625K(7616K), 0.0013976 secs] 18495K->12087K(24732K), 0.0014715 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.753: [GC 67.753: [ParNew: 7149K->813K(7616K), 0.0011759 secs] 18612K->12529K(24732K), 0.0012612 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
67.760: [GC 67.760: [ParNew: 7328K->238K(7616K), 0.0012021 secs] 19044K->12533K(24732K), 0.0013020 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.765: [GC 67.765: [ParNew: 6754K->693K(7616K), 0.0011215 secs] 19049K->12988K(24732K), 0.0011866 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.774: [GC 67.775: [ParNew: 7197K->643K(7616K), 0.0029746 secs] 19491K->13572K(24732K), 0.0030485 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.782: [GC 67.782: [ParNew: 7159K->806K(7616K), 0.0016705 secs] 20087K->14317K(24732K), 0.0017418 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.790: [GC 67.790: [ParNew: 7307K->603K(7616K), 0.0013824 secs] 20818K->14849K(24732K), 0.0014685 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.796: [GC 67.796: [ParNew: 7121K->365K(7616K), 0.0011789 secs] 21367K->15071K(24732K), 0.0012505 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.802: [GC 67.802: [ParNew: 6861K->336K(7616K), 0.0007834 secs] 21567K->15041K(24732K), 0.0008352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.807: [GC 67.807: [ParNew: 6852K->837K(7616K), 0.0012096 secs] 21558K->15543K(24732K), 0.0012941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.813: [GC 67.813: [ParNew: 7322K->917K(7616K), 0.0017543 secs] 22028K->16235K(24732K), 0.0018302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.819: [GC 67.819: [ParNew: 7409K->179K(7616K), 0.0012736 secs] 22727K->16125K(24732K), 0.0013384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.829: [GC 67.829: [ParNew: 6693K->744K(7616K), 0.0011051 secs] 22639K->16691K(24732K), 0.0011697 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.834: [GC 67.835: [ParNew: 7271K->107K(7616K), 0.0012920 secs] 23217K->16728K(24732K), 0.0013576 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
67.841: [GC 67.841: [ParNew: 6606K->262K(7616K), 0.0008807 secs] 23227K->16884K(24732K), 0.0009350 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
67.848: [GC 67.848: [ParNew: 6772K->499K(7616K), 0.0010938 secs] 23394K->17121K(24732K), 0.0011552 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.853: [GC 67.853: [ParNew: 7001K->557K(7616K), 0.0009177 secs] 23623K->17179K(24732K), 0.0009781 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.861: [GC 67.861: [ParNew: 7006K->509K(7616K), 0.0010613 secs] 23628K->17197K(24732K), 0.0011741 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.866: [GC 67.866: [ParNew: 6994K->425K(7616K), 0.0010193 secs] 23683K->17114K(24732K), 0.0010812 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.872: [GC 67.872: [ParNew: 6931K->438K(7616K), 0.0009286 secs] 23620K->17127K(24732K), 0.0009947 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.880: [GC 67.880: [ParNew: 6948K->477K(7616K), 0.0012089 secs] 23637K->17165K(24732K), 0.0012712 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.886: [GC 67.886: [ParNew: 6956K->911K(7616K), 0.0015656 secs] 23645K->17599K(24732K), 0.0016314 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.894: [GC 67.894: [ParNew: 7418K->665K(7616K), 0.0014304 secs] 24107K->17759K(24732K), 0.0014970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.899: [GC 67.900: [ParNew: 7188K->320K(7616K), 0.0011782 secs]67.901: [Tenured: 17437K->7700K(17500K), 0.0721737 secs] 24282K->7700K(25116K), [Perm : 10713K->10713K(21248K)], 0.0737039 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
67.979: [GC 67.979: [ParNew: 6513K->296K(7616K), 0.0007283 secs] 14213K->7996K(24732K), 0.0007938 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
67.983: [GC 67.983: [ParNew: 6807K->609K(7616K), 0.0009665 secs] 14508K->8309K(24732K), 0.0010397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.989: [GC 67.989: [ParNew: 7113K->470K(7616K), 0.0009963 secs] 14814K->8233K(24732K), 0.0010532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.994: [GC 67.994: [ParNew: 6959K->509K(7616K), 0.0010332 secs] 14722K->8272K(24732K), 0.0011086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
67.999: [GC 67.999: [ParNew: 7003K->521K(7616K), 0.0009883 secs] 14766K->8284K(24732K), 0.0010451 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.005: [GC 68.005: [ParNew: 7046K->638K(7616K), 0.0010376 secs] 14809K->8402K(24732K), 0.0010986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
68.011: [GC 68.011: [ParNew: 7064K->769K(7616K), 0.0010841 secs] 14827K->8682K(24732K), 0.0011616 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
